squad,senior,experienced,newbie
0,['A. J. David Bosschaert'],['Abraham Fine' 'Adam Nichols' 'Adam Wojtuniak'],['Aditya Agarwal']
1,['Antonio Gallardo Rivera'],['Adrian Crum' 'Adrian Nistor' 'Alan Gates'],['Alex Karasulu']
2,['Ashutosh Chauhan'],['Alexander Shraer' 'Amareshwari Sri Ramadasu' 'Andor Molnar'],['Alfred Nathaniel']
3,['Benedikt Ritter'],['Andreas Hartmann' 'Andreas Hochsteger' 'Andrei Dulvac'],['Andrew Kornev']
4,['Berin Lautenbach'],['Andrew Savory' 'Andrew Williams' 'Antoine Levy-Lambert'],['Andrus Adamchik']
5,['Bertrand Delacretaz'],['Antonio Petrelli' 'Ard Schrijvers' 'Aristedes Maniatis'],['Anthony Collen']
6,['Brett Porter'],['Arje Cahn' 'Arron Claude Bates' 'Arun Thomas'],['Arjun Panday']
7,['Cameron McCormack'],['Asankha Chamath Perera' 'Axl Mattheus' 'Bella Robinson'],['Ashish Thusoo']
8,['Carl Steinbach'],['Benson Margulies' 'Berin Loritsch' 'Bernhard Huber'],['Benjamin Reed']
9,['Carsten Ziegeler'],['Bill Speirs' 'Bob Paulin' 'Brent Worden'],['Benjamin Speakmon']
10,['Christian Geuer-Pollmann'],"['Brett Leslie Porter' ""Bruno D'Avonzo"" 'Bruno Kinoshita']",['Bernd Eckenfels']
11,['Christopher Oliver'],['Béla Schaum' 'Carl Franklin Hall' 'Carl Hall'],['Bob McWhirter']
12,['Clement Escoffier'],['Chad La Joie' 'Chas Honton' 'Chris Nauroth'],['Brock Noland']
13,['Colm O Heigeartaigh'],['Christian Schneider' 'Christian van Spaandonk' 'Christopher Piro'],['Bruno P. Kinoshita']
14,['Colm O hEigeartaigh'],['Clay Leeds' 'Conor MacNeill' 'Costin Manolache'],['Camille Fournier']
15,['Craig R. McClanahan'],['Cédric Damioli' 'Dain Sundstrom' 'Daniel Rall'],['Carlos Sanchez Gonzalez']
16,['David Brosius'],['Davanum Srinivas' 'David Dixon-Peugh' 'David John Legg'],['Chetan Mehrotra']
17,['David Crossley'],['David Leangen' 'David Winterfeldt' 'Dean Jackson'],['Chris Custine']
18,['David Graham'],['Dennis Kieselhorst' 'Dhruba Borthakur' 'Diana Shannon'],['Christian Grobmeier']
19,['David Jencks'],['Dipanjan Laha' 'Donald J. Brown' 'Duncan Jones'],['Christian Haul']
20,['David Morgan Spencer Savage'],['Elijah Zupancic' 'Eric N. Hanson' 'Erik Abele'],['Christophe Jolif']
21,['Dion Gillard'],['Ernesto S. Tolentino Jr' 'Fabrizio Giustina' 'Felipe Leme'],['Daniel Fabulich']
22,['Dirk Verbeeck'],['Filippo Diotalevi' 'Flavio Junqueira (fpj)' 'Francois-Xavier Bonnet'],['Daniel Savarese']
23,['Dmitri Plotnikov'],['Freeman Yue Fang' 'Gang Tim Liu' 'Gert Vanthienen'],['David Eric Pugh']
24,['Edwin L. Punzalan'],['Gianugo Rabellino' 'Giridharan Kesavan' 'GitHub'],['David Reiss']
25,['Emmanuel Bourg'],['Glenn Adams' 'Glenn L. Nielsen' 'Gopal Vijayaraghavan'],['Dennis Lundberg']
26,['Felix Knecht'],['Gregor Rothfuss' 'Göktürk Gezer' 'Hans Gilde'],['Derek Baum']
27,['Felix Meschberger'],"['Helder Miguel Alves Magalhães' 'Helma Van Der Linden'
 'Henning Schmiedehausen']",['Dieter von Holten']
28,['Gary D. Gregory'],['Henry Robinson' 'Hiram R. Chirino' 'Hongchao Deng'],['Edward Capriolo']
29,['Gary Gregory'],['Humberto Cervantes Maceda' 'Ignacio J. Ortega' 'James Duncan Davidson'],['Emmanuel Venisse']
30,['Giacomo Pati'],['James Mitchell' 'James Turner' 'James W. Carman'],['Enver Haase']
31,['Grzegorz Kossakowski'],['James Wang' 'Jamie Mark Goodyear' 'Jan Luehe'],['Erwin van der Koogh']
32,['Guillaume Nodet'],['Jasha Joachimsthal' 'Jason Dere' 'Jason Johnston'],['Flavio Paiva Junqueira']
33,['Gunther Hagleitner'],['Javier Puerto' 'Jean-Baptiste Onofré' 'Jeroen Reijn'],['Francesco Chicchiriccò']
34,['Henri Biestro'],['Jianyong Dai' 'Jim Jagielski' 'Jitendra Nath Pandey'],['Francesco Furfari']
35,['Henri Yandell'],['Jochen Wiedmann (jwi)' 'Johan Oskarsson' 'John Dennis Casey'],['Geir Magnusson Jr']
36,['James Strachan'],['John McNally' 'John Morrison' 'Josh Elser'],['Geoffrey Alexander Howard']
37,['Jan Willem Janssen'],['Josias Thony' 'Joydeep Sensarma' 'Jukka Zitting'],['Guido Casper']
38,['Jason van Zyl'],['Julian Sedding' 'Julius Davies' 'Karl Lehenbauer'],['Guillaume Sauthier']
39,['Joerg Heinick'],"['Karl Wright' 'Kenney Westerhof' 'Kevin Joseph Menard, Jr']",['Harish Butani']
40,['John Sichi'],['Konstantin Piroumian' 'Kristopher J. Nuttycombe' 'Lars Trieloff'],['Jean-Baptiste Quenot']
41,['Jorg Heymans'],['Leandro Nunes' 'Leo Sutic' 'Luc Maisonobe'],['Jean-Frederic Clere']
42,['Karl Pauls'],['Luca Morandini' 'Luis Bernardo' 'Lukasz Lenart'],['Jeff Turner']
43,['Leszek Gawron'],['Manuel L. Santillan' 'Marcus Crafter' 'Maria Odea B. Ching'],['Jeffrey Brekke']
44,['Mahadev Konar'],['Mark Butler' 'Mark Emlyn David Thomas' 'Marko Vasic'],['Jeremias Maerki']
45,['Marcel Offermans'],['Martin Kraemer' 'Martin van den Bemt' 'Matt Sicker'],['Jeremy Quinn']
46,['Mario Ivankovits'],['Matthew Hawthorne' 'Matthew Langham' 'Maurice (Mike) L. Kienenberger'],['Jesse McConnell']
47,['Mark Slee'],['Max Pfingsthorn' 'Michael Becke' 'Michael Ernst'],['Joakim Erdfelt']
48,['Mark Thomas'],['Michael Melhem' 'Michael Osipov' 'Michael Ray Gentry'],['Jochen Wiedmann']
49,['Martin Cooper'],['Michael Wechner' 'Mohammad Arshad' 'Neil Bartlett'],['Joerg Schaible']
50,['Matthew Jason Benson'],"[""Neil O'Toole"" 'Nick Burch' 'Nicola Ken Barozzi']",['John Keyes']
51,['Maurizio Cucchiara'],['Nicolas Socheleau' 'Nigel Daley' 'Niklas Gustavsson'],['Jonathan Moore']
52,['Mladen Turk'],['Ortwin Glueck' 'Outerthought - Steven Noels' 'Owolabi Legunsen'],['Ken Gilmer']
53,['Morgan James Delagrange'],['Par Niclas Hedhman' 'Patrick H. Luby' 'Paul Yang'],['Kevin Wilfong']
54,['Namit Jain'],['Peter Donald' 'Peter Kriens' 'Peter Lynch'],['Kristian Rosenvold']
55,['Niall Kegan Pemberton'],['Pier Fumagalli' 'Prasad Chakka' 'Prasad Suresh Mujumdar'],['Marc Giger']
56,['Niall Pemberton'],['Prasanth J' 'Raghotham Murthy' 'Raul Gutierrez S'],['Marc Slemko']
57,['Oleg Kalnichevski'],['Raul Gutierrez Segales' 'Raymond Augé' 'Reinhard Poetz'],['Mark R. Diggory']
58,['Oliver Heger'],['Remus Rusanu' 'Remy Maucherat' 'Ricardo Rocha'],['Markus Dahm']
59,['Outerthought - Bruno Dumon'],['Rob Walker' 'Robert Scholte' 'Roger Lee Whitcomb'],['Michael E. Rodriguez']
60,['Par Daniel Fagerstrohm'],['Rolf Kulemann' 'Rubin Simons' 'Sam Berlin'],['Michael Han']
61,['Patrick D. Hunt'],['Sam Ruby' 'Sandy McArthur Jr' 'Sanjeeb Kumar Sahoo'],['Michael Smith']
62,['Phil Steitz'],['Sean Mullan' 'Sean Sullivan' 'Sebb'],['Michi Mutsuzaki']
63,['Pierre De Rop'],['Sergey Shelukhin' 'Simone Gianni' 'Siying Dong'],['Milan Tomic']
64,['Poetz Reinhard'],['Stefan Bodewig' 'Stefan Seifert' 'Stephane Mor'],['Navis Ryu']
65,['Rahul Akolkar'],['Sung-Gu Park' 'Szehon Ho' 'Ted Leung'],['Ning Zhang']
66,['Ralph Goers'],['Ted Nathan Husted' 'Thawan Kooburat' 'Thomas White'],['Olivier Lamy']
67,['Raul Benito Garcia'],['Thorsten Scherler' 'Timothy Bennett' 'Timothy Michael Moloney'],['Outerthought - Marc Portier']
68,['Richard S. Hall'],['Tom Watson' 'Trustin Lee' 'Trygve Laugstol'],"[""Owen O'Malley""]"
69,['Robert Burrell Donkin'],['Vaibhav Gumashta' 'Vikram Dixit K' 'Vincent Hennebert'],['Pascal Schumacher']
70,['Rodney Waldhoff'],['Vincent Massol' 'Vishal Mahajan' 'Wendy Smoak'],['Patrick Hunt']
71,['Roland Weber'],['William Barker' 'Woonsan Ko' 'Xander Uiterlinden'],['Paul Libbrecht']
72,['Rory Winston'],['Yin Huai' 'Yoav Shapira' 'arshad'],['Peter A Royal Jr']
73,['Sean Joseph Mullan'],['asf-sync-process' 'benjamin reed' 'boz'],['Rakesh Radhakrishnan']
74,['Sebastian Bazley'],['ccheever' 'coheigea' 'cschneider'],['Raúl Gutiérrez Segalés']
75,['Siegfried Goeschl'],['cziegeler' 'dave' 'dlaha'],['Rob Tompkins']
76,['Simon Kitching'],['dweatherford' 'ecki' 'eletuchy'],['Robert James Oxspring']
77,['Simone Tripodi'],['fpj' 'ggregory' 'henrib'],['Robert Leland']
78,['Stefeno Mazzocchi'],['henrib <>' 'hzhao' 'iproctor'],['Scott Cantor']
79,['Stephan Michels'],['jsobel' 'lklots' 'markt'],['Scott Sanders']
80,['Stephane Hillion'],['mvaradachari' 'onders86' 'peter'],['Simon Steiner']
81,['Stephen Colebourne'],['peterm' 'pfung' 'pjack'],['Stefano Lenzi']
82,['Stuart McCulloch'],['pkeyani' 'putnam' 'robert'],['Sten Roger Sandvik']
